position,title,link,authors,publications
78,On Nie-Tan operator and type-reduction of interval type-2 fuzzy sets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:aIdbFUkbNIkC,"J Li, R John, S Coupland, G Kendall","IEEE Transactions on Fuzzy Systems 26 (2), 1036-1039, 2017"
79,Irregular packing using the line and arc no-fit polygon,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:yB1At4FlUx8C,"EK Burke, RSR Hellier, G Kendall, G Whitwell","Operations Research 58 (4-part-1), 948-970, 2010"
80,Choice function based hyper-heuristics for multi-objective optimization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:PYBJJbyH-FwC,"M Maashi, G Kendall, E Özcan","Applied Soft Computing 28, 312-326, 2015"
81,A multi-objective particle swarm optimization algorithm based on dynamic boundary search for constrained optimization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:dT4-KZ621vcC,"MZ bin Mohd Zain, J Kanesan, JH Chuah, S Dhanapal, G Kendall","Applied Soft Computing 70, 680-700, 2018"
82,Iterated local search using an add and delete hyper-heuristic for university course timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:-7ulzOJl1JYC,"JA Soria-Alcaraz, E Özcan, J Swan, G Kendall, M Carpio","Applied Soft Computing 40, 581-593, 2016"
83,A novel approach to independent taxi scheduling problem based on stable matching,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:HeT0ZceujKMC,"R Bai, J Li, JAD Atkin, G Kendall","Journal of the Operational Research Society 65 (10), 1501-1510, 2014"
84,Population based Monte Carlo tree search hyper-heuristic for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:cK4Rrx0J3m0C,"NR Sabar, G Kendall","Information Sciences 314, 225-239, 2015"
85,Does money matter in inflation forecasting?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:3s1wT3WcHBgC,"JM Binner, P Tino, J Tepper, R Anderson, B Jones, G Kendall","Physica A: Statistical Mechanics and its Applications 389 (21), 4793-4808, 2010"
86,An investigation of an adaptive poker player,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:YOwf2qJgpHMC,"G Kendall, M Willdig","AI 2001: Advances in Artificial Intelligence, 217-229, 2001"
87,The cross-domain heuristic search challenge–an international research competition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:D03iK_w7-QYC,"E Burke, M Gendreau, M Hyde, G Kendall, B McCollum, G Ochoa, ...","Learning and Intelligent Optimization, 631-634, 2011"
88,Does decentralized decision making increase company performance through its Information Technology infrastructure investment?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:43LB_KcVqeAC,"A Mohamad, Y Zainuddin, N Alam, G Kendall","International Journal of Accounting Information Systems 27, 1-15, 2017"
89,Improved local search approaches to solve the post enrolment course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:sA9dB-pw3HoC,"SL Goh, G Kendall, NR Sabar","European Journal of Operational Research 261 (1), 17-29, 2017"
90,"An investigation, using co-evolution, to evolve an awari player",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:mB3voiENLucC,"JE Davis, G Kendall","Proceedings of the 2002 Congress on Evolutionary Computation. CEC'02 (Cat …, 2002"
91,Using tree search bounds to enhance a genetic algorithm approach to two rectangle packing problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:qUcmZB5y_30C,"KA Dowsland, EA Herbert, G Kendall, E Burke","European journal of operational research 168 (2), 390-402, 2006"
92,A survey of the state-of-the-art of optimisation methodologies in school timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:PPrs6GlykQcC,"JS Tan, SL Goh, G Kendall, NR Sabar","Expert Systems with Applications 165, 113943, 2021"
93,Hyperion–A Recursive Hyper-Heuristic Framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:OU6Ihb5iCvQC,"J Swan, E Özcan, G Kendall","Learning and Intelligent Optimization, 616-630, 2011"
94,HyFlex: A flexible framework for the design and analysis of hyper-heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:k_IJM867U9cC,"EK Burke, T Curtois, M Hyde, G Kendall, G Ochoa, S Petrovic, ...","Multidisciplinary International Scheduling Conference (MISTA 2009), 790-797, 2009"
95,Frequency analysis for dendritic cell population tuning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:r0BpntZqJG4C,"R Oates, G Kendall, JM Garibaldi","Evolutionary Intelligence 1 (2), 145-157, 2008"
96,Learning versus evolution in iterated prisoner's dilemma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:_kc_bZDykSQC,"P Hingston, G Kendall","Evolutionary Computation, 2004. CEC2004. Congress on 1, 364-372 Vol. 1, 2004"
97,Engineering design of strategies for winning iterated prisoner's dilemma competitions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:1yQoGdGgb4wC,"J Li, P Hingston, G Kendall","IEEE Transactions on Computational Intelligence and AI in Games 3 (4), 348-360, 2011"
98,Optimisation for surface mount placement machines,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:4TOpqqG69KYC,"M Ayob, P Cowling, G Kendall","Industrial Technology, 2002. IEEE ICIT'02. 2002 IEEE International …, 2002"
99,Applying simulated annealing and the no fit polygon to the nesting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:7PzlFSSx8tAC,"E Burke, G Kendall, NU Nottingham","Proceedings of the world manufacturing congress, 1999"
100,Throughput maximization of queueing networks with simultaneous minimization of service rates and buffers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:TIZ-Mc8IlK0C,"FRB Cruz, G Kendall, L While, AR Duarte, NLC Brito","Mathematical Problems in Engineering 2012, 2012"
101,Searching the hyper-heuristic design space,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:GtLg2Ama23sC,"J Swan, J Woodward, E Özcan, G Kendall, E Burke","Cognitive Computation 6 (1), 66-73, 2014"
102,Population based local search for university course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:bKqednn6t2AC,"A Abuhamdah, M Ayob, G Kendall, NR Sabar","Applied intelligence 40 (1), 44-53, 2014"
103,Computing Nash equilibria and evolutionarily stable states of evolutionary games,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:6_hjMsCP8ZoC,"J Li, G Kendall, R John","IEEE Transactions on Evolutionary Computation 20 (3), 460-469, 2015"
104,Barriers to implementation of IT in educational institutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:WHdLCjDvYFkC,"A Garg, B Shukla, G Kendall","The International Journal of Information and Learning Technology, 2015"
105,The effect of memory size on the evolutionary stability of strategies in iterated prisoner's dilemma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:Ehil0879vHcC,"J Li, G Kendall","IEEE Transactions on Evolutionary Computation 18 (6), 819-826, 2013"
106,Tabu assisted guided local search approaches for freight service network design,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:fQNAKQ3IYiAC,"R Bai, G Kendall, R Qu, JAD Atkin","Information Sciences 189, 266-281, 2012"
107,Comparison of meta-heuristic algorithms for clustering rectangles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:-f6ydRqryjwC,"E Burke, G Kendall","Computers and Industrial Engineering 37 (1), 383-386, 1999"
108,A triple objective function with a Chebychev dynamic pick-and-place point specification approach to optimise the surface mount placement machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:TQgYirikUcIC,"M Ayob, G Kendall","European Journal of Operational Research 164 (3), 609-626, 2005"
109,Hybridising heuristics within an estimation distribution algorithm for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:LdasjJ6CEcoC,"R Qu, N Pham, R Bai, G Kendall","Applied Intelligence 42 (4), 679-693, 2015"
110,Geometrical insights into the dendritic cell algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:kz9GbA2Ns4gC,"T Stibor, R Oates, G Kendall, JM Garibaldi","Proceedings of the 11th Annual conference on Genetic and evolutionary …, 2009"
111,Alternative hyper-heuristic strategies for multi-method global optimization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:sSrBHYA8nusC,"J Grobler, AP Engelbrecht, G Kendall, VSS Yadavalli","Evolutionary Computation (CEC), 2010 IEEE Congress on, 1-8, 2010"
112,A simulated annealing hyper-heuristic for university course timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:RYcK_YlVTxYC,"R Bai, EK Burke, G Kendall, B Mccollum","Proc. International Conference on the Practice and Theory of Automated …, 2006"
113,A Simulated Annealing Hyper-heuristic for University Course Timetabling Problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:SP6oXDckpogC,"R Bai, EK Burke, G Kendall, B McCollum","Abstract) PATAT 6, 0"
114,Multi-label Arabic text categorization: A benchmark and baseline comparison of multi-label learning algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:HmWvvuJwtxYC,"B Al-Salemi, M Ayob, G Kendall, SAM Noah","Information Processing & Management 56 (1), 212-227, 2019"
115,A squeaky wheel optimisation methodology for two-dimensional strip packing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:b1wdh0AR-JQC,"EK Burke, MR Hyde, G Kendall","Computers & Operations Research 38 (7), 1035-1044, 2011"
116,Evolving reusable 3d packing heuristics with genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:JV2RwH3_ST0C,"S Allen, EK Burke, M Hyde, G Kendall","Proceedings of the 11th Annual conference on Genetic and evolutionary …, 2009"
117,Handling diversity in evolutionary multiobjective optimization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:BqipwSGYUEgC,"N Hallam, P Blanchfield, G Kendall","Evolutionary Computation, 2005. The 2005 IEEE Congress on 3, 2233-2240 Vol. 3, 2005"
118,A new model and a hyper-heuristic approach for two-dimensional shelf space allocation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:z_wVstp3MssC,"R Bai, T Van Woensel, G Kendall, EK Burke","4or 11 (1), 31-55, 2013"
119,Applying ant algorithms and the no fit polygon to the nesting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:ZeXyd9-uunAC,"E Burke, G Kendall","Advanced Topics in Artificial Intelligence, 453-464, 1999"
120,Roulette wheel graph colouring for solving examination timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:4OULZ7Gr8RgC,"N Sabar, M Ayob, G Kendall, R Qu","Combinatorial Optimization and Applications, 463-470, 2009"
121,A multi-agent based simulated stock market-testing on different types of stocks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:j3f4tGmQtD8C,G Kendall,"Evolutionary Computation, 2003. CEC'03. The 2003 Congress on 4, 2298-2305 Vol. 4, 2003"
122,An improved constraint satisfaction adaptive neural network for job-shop scheduling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:EUQCXRtRnyEC,"S Yang, D Wang, T Chai, G Kendall","Journal of Scheduling 13 (1), 17-38, 2010"
123,Memory length in hyper-heuristics: An empirical study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:ZHo1McVdvXMC,"R Bai, EK Burke, M Gendreau, G Kendall, B McCollum","2007 IEEE Symposium on Computational Intelligence in Scheduling, 173-178, 2007"
124,A great deluge algorithm for a real-world examination timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:_OXeSy2IsFwC,"MN Mohmad Kahar, G Kendall","Journal of the Operational Research Society 66 (1), 116-133, 2015"
125,Regulators as ‘agents’: power and personality in risk regulation and a role for agent‐based simulation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:epqYDVWIO7EC,"GJ Davies, G Kendall, E Soane, J Li, F Charnley, SJT Pollard","Journal of Risk Research 13 (8), 961-982, 2010"
126,Imperfect evolutionary systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:hMod-77fHWUC,"G Kendall, Y Su","IEEE Transactions on Evolutionary computation 11 (3), 294-307, 2007"
127,Real-time scheduling for multi headed placement machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:hFOr9nPyWt4C,"M Ayob, G Kendall","Assembly and Task Planning, 2003, Proceedings of the IEEE International …, 2003"
128,A survey and case study of practical examination timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:SeFeTyx0c_EC,"P Cowling, G Kendall, N Mohd Hussin","Proceedings of the 4th International Conference on the Practice and Theory …, 2002"
129,Heuristic space diversity control for improved meta-hyper-heuristic performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:PaBasH6fAo0C,"J Grobler, AP Engelbrecht, G Kendall, VSS Yadavalli","Information Sciences 300, 49-62, 2015"
130,Solving examination timetabling problems using honey-bee mating optimization (ETP-HBMO),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:J_g5lzvAfSwC,"NR Sabar, M Ayob, G Kendall","Proceedings of the 4th Multidisciplinary International Scheduling Conference …, 2009"
131,A variable neighborhood descent search algorithm for delay-constrained least-cost multicast routing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:YFjsv_pBGBYC,"R Qu, Y Xu, G Kendall","Learning and Intelligent Optimization, 15-29, 2009"
132,Solving a practical examination timetabling problem: a case study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:blknAaTinKkC,"M Ayob, A Malik, S Abdullah, A Hamdan, G Kendall, R Qu","Computational Science and Its Applications–ICCSA 2007, 611-624, 2007"
133,Further Evolution of a Self-Learning Chess Program.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:UuEBAcK4md4C,"DB Fogel, TJ Hays, SL Hahn, J Quon, G Kendall","CIG, 2005"
134,Simulated annealing with improved reheating and learning for the post enrolment course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:M7C5BM2v8n8C,"SL Goh, G Kendall, NR Sabar","Journal of the Operational Research Society 70 (6), 873-888, 2019"
135,Optimising risk reduction: An expected utility approach for marginal risk reduction during regulatory decision making,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:08ZZubdj9fEC,"J Li, S Pollard, G Kendall, E Soane, G Davies","Reliability Engineering & System Safety 94 (11), 1729-1734, 2009"
136,An evolutionary methodology for the automated design of cellular automaton-based complex systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:pqnbT2bcN3wC,"G Terrazas, P Siepmann, G Kendall, N Krasnogor","Journal of Cellular Automata 2 (1), 77-102, 2007"
137,The evolution of blackjack strategies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:GnPB-g6toBAC,"G Kendall, C Smith","Evolutionary Computation, 2003. CEC'03. The 2003 Congress on 4, 2474-2481 Vol. 4, 2003"
138,Is increased diversity in genetic programming beneficial? An analysis of lineage selection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:_Qo2XoVZTnwC,"EK Burke, S Gustafson, G Kendall, N Krasnogor","Evolutionary Computation, 2003. CEC'03. The 2003 Congress on 2, 1398-1405 Vol. 2, 2003"
139,Analytics and machine learning in vehicle routing research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:6LV2YwJzdtgC,"R Bai, X Chen, ZL Chen, T Cui, S Gong, W He, X Jiang, H Jin, J Jin, ...","International Journal of Production Research, 1-27, 2021"
140,A puzzle to challenge genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:M3NEmzRMIkIC,"E Burke, S Gustafson, G Kendall","Genetic Programming, 136-147, 2002"
141,A tabu search approach for graph-structured case retrieval,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:HDshCWvjkbEC,"S Petrovic, G Kendall","In: Proceedings of the STarting Artificial Intelligence Researchers …, 2002"
142,Iterated prisoner’s dilemma and evolutionary game theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:HoB7MX3m0LUC,"SY Chong, J Humble, G Kendall, J Li, X Yao","The Iterated Prisoner's Dilemma: Celebrating the 20th Anniversary, World …, 2007"
143,Applying meta-heuristic algorithms to the nesting problem utilising the no fit polygon,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:O3NaXMp0MMsC,G Kendall,"University of Nottingham, 2000"
144,Optimization of fed-batch fermentation processes using the Backtracking Search Algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:KKBjqD86ppkC,"MZ bin Mohd Zain, J Kanesan, G Kendall, JH Chuah","Expert Systems with Applications 91, 286-297, 2018"
145,Learning and game AI,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:P7Ujq4OLJYoC,"H Muñoz-Avila, C Bauckhage, M Bida, CB Congdon, G Kendall","Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik, 2013"
146,Scheduling english football fixtures over the holiday period using hyper-heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:kzcrU_BdoSEC,"J Gibbs, G Kendall, E Özcan","International Conference on Parallel Problem Solving from Nature, 496-505, 2010"
147,Tabu exponential monte-carlo with counter heuristic for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:2P1L_qKh6hAC,"NR Sabar, M Ayob, G Kendall","2009 IEEE Symposium on Computational Intelligence in Scheduling, 90-94, 2009"
148,Metaheuristic enhancements of the best-fit heuristic for the orthogonal stock cutting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:oNZyr7d5Mn4C,"EK Burke, G Kendall, G Whitwell","Submitted in INFORMS, 2006"
149,The co-evolution of trading strategies in a multi-agent based simulated stock market through the integration of individual learning and social learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:e5wmG9Sq2KIC,"G Kendall, Y Su","Proceedings of IEEE, 2298-2305, 2003"
150,Competitive travelling salesmen problem: A hyper-heuristic approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:JoZmwDi-zQgC,"G Kendall, J Li","Journal of the Operational Research Society 64 (2), 208-216, 2013"
151,Applications of artificial intelligence in finance and economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:pAkWuXOU-OoC,"JM Binner, G Kendall, SH Chen","Elsevier, 2004"
152,Beall's legacy in the battle against predatory publishers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:fc7zyzPI2QAC,G Kendall,"Learned Publishing 34 (3), 379-388, 2021"
153,The optimisation of the single surface mount device placement machine in printed circuit board assembly: a survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:nb7KW1ujOQ8C,"M Ayob, G Kendall","International Journal of Systems Science 40 (6), 553-569, 2009"
154,A new dynamic point specification approach to optimise surface mount placement machine in printed circuit board assembly,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:NaGl4SEjCO4C,"M Ayob, G Kendall","Industrial Technology, 2002. IEEE ICIT'02. 2002 IEEE International …, 2002"
155,A hyper-heuristic approach to sequencing by hybridization of DNA sequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:hMsQuOkrut0C,"J Blazewicz, EK Burke, G Kendall, W Mruczkiewicz, C Oguz, A Swiercz","Annals of Operations Research 207 (1), 27-41, 2013"
156,A strategy with novel evolutionary features for the iterated prisoner's dilemma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:xtRiw3GOFMkC,"J Li, G Kendall","Evolutionary Computation 17 (2), 257-274, 2009"
157,A local search approach to a circle cutting problem arising in the motor cycle industry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:rO6llkc54NcC,"KA Dowsland, M Gilbert, G Kendall","Journal of the Operational Research Society 58 (4), 429-438, 2007"
158,Co-Evolving Neural Networks with Evolutionary Strategies: A New Application to Divisia Money,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:isC4tDSrTZIC,"JM Binner, G Kendall, A Gazely","Emerald Group Publishing Limited, 2004"
159,Sampling of unique structures and behaviours in genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:NMxIlDl6LWMC,"S Gustafson, E Burke, G Kendall","Genetic Programming, 279-288, 2004"
160,A scheme for determining vehicle routes based on Arc-based service network design,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:QUX0mv85b1cC,"X Jiang, R Bai, J Atkin, G Kendall","INFOR: Information Systems and Operational Research 55 (1), 16-37, 2017"
161,An artificial neural network for predicting domestic hot water characteristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&cstart=100&pagesize=100&citation_for_view=VjJm3zYAAAAJ:V3AGJWp-ZtQC,"C Barteczko-Hibbert, M Gillott, G Kendall","International Journal of Low-Carbon Technologies 4 (2), 112-119, 2009"
